Symbol	Training_Set	NetWAS_Score
#Training_Set: 1 (+, nominally significant), -1 (-, not nominally significant), 0 (not used in training)
#NetWAS_Score: Distance from hyperplane, positive scores are in the positive direction (most like nominally significant), negative scores are in the negative direction (more like non-significant)
HIST1H2BI	-1	0.648655
HIST1H2AL	1	0.603942
HIST1H4H	-1	0.602515
HIST1H4J	1	0.57833
HIST1H2BC	1	0.528464
HIST1H2BF	-1	0.526992
HIST1H4K	1	0.451352
HIST1H2AJ	1	0.439998
HIST1H2AM	-1	0.421925
HIST1H3B	1	0.409505
BTN3A3	-1	0.401494
HIST1H2BD	1	0.386761
HIST1H2AI	0	0.374483
HIST1H2AD	0	0.358835
HIST1H3D	-1	0.349044
HIST2H2BE	-1	0.329393
HIST1H2BH	-1	0.304033
HIST1H2AH	-1	0.272427
HIST1H2BE	-1	0.268292
HIST1H4B	1	0.267147
HIST1H1E	1	0.254173
HIST1H2BK	-1	0.248556
HIST1H3I	1	0.236489
HIST1H2AE	-1	0.211456
HIST1H4F	-1	0.196447
PRAMEF1	-1	0.195288
HIST2H2AA4	-1	0.194849
HIST1H2AG	1	0.188719
HIST1H2AK	1	0.182966
HIST1H2AB	-1	0.177429
HIST2H2AA3	-1	0.163701
HIST1H2BO	-1	0.16074
BTN3A1	-1	0.158845
HIST1H3H	1	0.14485
HIST4H4	-1	0.143109
HIST2H4A	-1	0.130391
HIST1H3F	-1	0.124416
HIST1H1C	1	0.108337
HIST1H1D	-1	0.108129
HIST1H4E	-1	0.09938
HIST1H2BJ	1	0.0914954
ADRA1A	-1	0.0744934
OR1G1	-1	0.0708224
GSTA2	-1	0.0700466
AHR	-1	0.0700417
HIST3H2A	-1	0.0674245
HIST1H4D	-1	0.0636485
DRD2	-1	0.0629449
BEND4	-1	0.0599858
TACR1	-1	0.0572985
HIST1H3A	1	0.0523446
ZNF418	-1	0.05024
ZNF221	-1	0.0472166
HIST1H2BB	-1	0.0469609
SLC23A1	-1	0.0398644
EVI2A	-1	0.0289793
GCM1	-1	0.027152
ITGA2B	-1	0.0256831
HIST1H4I	-1	0.0245394
HYAL3	-1	0.0225977
SLC44A5	-1	0.0131403
KIR3DL2	-1	0.0109076
HIST1H2BM	1	0.0088204
DCHS2	-1	0.00766316
SLC22A6	-1	0.00738569
SPACA1	-1	0.00630988
HOXD3	-1	0.00620817
KLHDC9	-1	0.00088722
ZNF30	-1	-0.000685006
HIST1H4C	1	-0.00351826
SFRP4	-1	-0.00424886
SPP2	-1	-0.00587264
AMDHD1	-1	-0.00870919
VN1R1	-1	-0.0100841
CHRNA6	-1	-0.0110591
TMEM106C	-1	-0.0126346
GMEB1	-1	-0.0142115
SMCP	-1	-0.0158455
MYO16	-1	-0.0172077
HIST1H4L	1	-0.0185573
TRPM8	-1	-0.0199441
STRADB	-1	-0.0261311
CD74	-1	-0.0306634
TDRKH	-1	-0.0312958
TRPM3	-1	-0.0329173
ARHGAP28	-1	-0.0329219
THEM4	-1	-0.0331312
OGG1	-1	-0.0331789
SLC22A1	-1	-0.0334042
SLC5A4	-1	-0.0336822
HIST3H3	-1	-0.0352582
HTATIP2	-1	-0.0357382
ZFP1	-1	-0.0358764
CASP6	-1	-0.0365985
MYH4	-1	-0.0374472
ABCB4	-1	-0.0375039
PSTK	-1	-0.0377466
PKP2	-1	-0.0378441
HIST1H3G	-1	-0.0410316
RFX5	-1	-0.0413132
PCDHGA10	0	-0.0426977
USF1	-1	-0.0456881
FKBP14	-1	-0.045946
FOXR1	-1	-0.0460512
AOC2	-1	-0.0468506
TEX12	-1	-0.0471564
IGFBP1	-1	-0.047357
SORBS1	-1	-0.04767
HIST1H4A	1	-0.0478224
RORB	-1	-0.0482771
ITGAL	-1	-0.0484813
HIST1H2AC	1	-0.0502727
RBBP5	-1	-0.050357
CXCL12	-1	-0.0537458
C21orf62	-1	-0.0543138
CYP2A13	-1	-0.0549903
CEP170	-1	-0.0555324
CHRNA5	-1	-0.056697
UGT2A1	-1	-0.0578727
NENF	-1	-0.0590733
TFAP2D	-1	-0.059317
OVGP1	-1	-0.0602878
GP5	-1	-0.0614713
HIST1H3C	1	-0.0620679
TRPV6	-1	-0.0621307
TGFBRAP1	-1	-0.0630411
TSSK4	-1	-0.0643979
HOXA3	-1	-0.0648877
RPS27A	-1	-0.0650479
GRK1	-1	-0.0650836
XRCC2	-1	-0.0650852
BCHE	-1	-0.0652323
SSX3	0	-0.0652971
HEXA	-1	-0.0656326
HLA-DMA	0	-0.0659585
TSNAX	-1	-0.0661184
C20orf96	-1	-0.0661217
GLG1	-1	-0.0664774
HIST1H2BN	1	-0.0677521
GAGE6	0	-0.0682475
ZNF28	-1	-0.0697037
ZNF71	-1	-0.0698649
FKBP1B	-1	-0.0707305
HLA-DMB	0	-0.0711867
TPST2	-1	-0.0746253
CYP7A1	-1	-0.0752079
BPGM	-1	-0.0758481
ZNF233	-1	-0.0765055
TPP1	-1	-0.0787856
CHRM5	-1	-0.0793282
ACSM2A	-1	-0.0809121
LRRC4C	-1	-0.0832698
SLC5A12	-1	-0.0833111
OR5P3	-1	-0.0836012
CRCP	-1	-0.0838847
RAP1A	-1	-0.0843844
SLCO1B3	-1	-0.08472
RLN1	-1	-0.0847233
MYOG	-1	-0.0852473
FAM170A	-1	-0.0854081
DMAP1	-1	-0.085513
LHPP	-1	-0.0859029
FOXD3	-1	-0.0859984
WASF1	-1	-0.0865159
CTRB1	-1	-0.0865626
NPHP1	-1	-0.0872813
CENPM	-1	-0.0875907
PRPH	-1	-0.0886728
PRH1	-1	-0.0893292
