Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScorePR,Gene ReScoreRWR
HIST1H4K,6,27906930,27907284,23.481718939479972,8,5.071180000000001e-10,23.481718939479972,3.3580949435819067
HIST1H2AK,6,27913636,27914096,24.17486612003992,16,5.071180000000001e-10,24.17486612003992,5.610683609077256
HIST1H2BN,6,27914418,27914867,24.235490741856353,17,5.071180000000001e-10,35.67760821555259,24.235490741856353
HIST1H2AL,6,27941085,27941555,23.374870961906854,10,7.053789999999999e-10,23.374870961906854,24.65580958228021
HIST1H1B,6,27942548,27943338,23.374870961906854,10,7.053789999999999e-10,32.10695544255834,23.374870961906854
HIST1H3I,6,27947601,27948078,23.374870961906854,10,7.053789999999999e-10,23.374870961906854,14.287465263530205
HIST1H4L,6,27948904,27949268,23.374870961906854,10,7.053789999999999e-10,23.374870961906854,2.3792987698297483
PGBD1,6,28357342,28378305,23.912550497637174,30,1.23604e-09,34.48527671236617,22.020814783238787
HIST1H1E,6,26264537,26265322,22.74402689140468,11,1.4581e-09,33.383207458178696,2.3170928420563173
HIST1H2BD,6,26266327,26279555,23.054181819708518,15,1.4581e-09,33.90529178076439,23.054181819708518
ZKSCAN4,6,28320468,28327981,23.229336695106998,22,1.7949400000000002e-09,23.229336695106998,2.5071248592391187
ZSCAN12,6,28454974,28475490,23.504572449805917,32,1.98264e-09,23.504572449805917,5.321078814376348
ZNF165,6,28157001,28165319,22.2497591832992,19,4.1286300000000005e-09,22.2497591832992,2.257741080309477
NKAPL,6,28335076,28336715,21.879445005218194,16,5.03498e-09,21.879445005218194,8.264101965954875
OR2B2,6,27987002,27988076,20.59756362363067,9,1.02055e-08,31.59884506735277,20.59756362363067
NT5C2,10,104837901,104943006,21.424579606839416,45,2.2317e-08,21.424579606839416,11.137439278977183
ZSCAN23,6,28508410,28519258,20.258049383256903,17,2.70701e-08,20.258049383256903,20.258049383256903
EI24,11,124944507,124959785,19.99136164962948,14,2.91065e-08,29.485071810416564,3.550216095661934
ZNF184,6,27526505,27548873,20.322912537329366,27,4.02935e-08,30.52192030506174,2.4319952533399585
ZKSCAN3,6,28442960,28444911,19.570222182790264,15,4.7517300000000004e-08,19.570222182790264,4.885271106308015
MAD1L1,7,1903850,2239109,21.782717345764052,146,5.0610300000000004e-08,32.04883675228353,2.209943480381299
CNNM2,10,104668103,104828230,20.572633547193032,55,6.39413e-08,30.78978883413142,9.008852140058337
AS3MT,10,104619199,104651645,19.07381521737677,25,1.30103e-07,27.75687952316492,1.9381717031137795
STT3A,11,124981405,124996164,19.003911137773272,27,1.50685e-07,27.835545997136265,7.013319091223281
CHEK1,11,125019185,125031458,17.731006252871392,9,1.79376e-07,28.287074296620638,1.7933288370706322
HIST1H2BL,6,27883235,27883688,17.72155563353922,12,2.41439e-07,27.070503724097286,33.24169469754021
HIST1H3H,6,27883955,27886293,17.80159834121276,13,2.41439e-07,17.80159834121276,1.8031297269747384
HIST1H2AJ,6,27890058,27890497,17.634544256549592,11,2.41439e-07,29.077129766106218,9.31556765723814
HIST1H2BM,6,27890800,27891246,17.634544256549592,11,2.41439e-07,17.634544256549592,2.0769780942186546
PATE1,11,125121397,125124953,18.048033483751247,18,2.61283e-07,18.048033483751247,3.831955949111826
SCGN,6,25760407,25809987,18.92495123296997,50,3.01973e-07,29.531508299268012,18.92495123296997
SLC17A1,6,25906989,25938814,18.326725377597352,28,3.07583e-07,29.01260214954973,7.932571254078459
HIST1H4J,6,27899881,27900237,16.833827381919615,7,3.42184e-07,25.54998138896668,9.736185051199959
