Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScorePR,Gene ReScoreRWR
HIST1H4K,6,27906930,27907284,6.338975000000001e-11,8,5.071180000000001e-10,6.338975000000001e-11,6.338975000000001e-11
HIST1H2AK,6,27913636,27914096,3.1694875000000006e-11,16,5.071180000000001e-10,3.1694875000000006e-11,3.1694875000000006e-11
HIST1H2BN,6,27914418,27914867,2.9830470588235297e-11,17,5.071180000000001e-10,4.830025101966808e-18,0.0069865089958617
HIST1H2AL,6,27941085,27941555,7.053789999999999e-11,10,7.053789999999999e-10,7.053789999999999e-11,7.053789999999999e-11
HIST1H1B,6,27942548,27943338,7.053789999999999e-11,10,7.053789999999999e-10,7.910794283353806e-15,0.007258010667067318
HIST1H3I,6,27947601,27948078,7.053789999999999e-11,10,7.053789999999999e-10,7.053789999999999e-11,7.053789999999999e-11
HIST1H4L,6,27948904,27949268,7.053789999999999e-11,10,7.053789999999999e-10,7.053789999999999e-11,7.053789999999999e-11
PGBD1,6,28357342,28378305,4.120133333333333e-11,30,1.23604e-09,4.735255716584943e-17,0.007012471141848254
HIST1H1E,6,26264537,26265322,1.3255454545454544e-10,11,1.4581e-09,1.0451669405290323e-15,0.0068363191771602435
HIST1H2BD,6,26266327,26279555,9.720666666666666e-11,15,1.4581e-09,3.6222841847100693e-16,0.006255517364865601
ZKSCAN4,6,28320468,28327981,8.158818181818183e-11,22,1.7949400000000002e-09,8.158818181818183e-11,8.158818181818183e-11
ZSCAN12,6,28454974,28475490,6.19575e-11,32,1.98264e-09,6.19575e-11,6.19575e-11
ZNF165,6,28157001,28165319,2.172963157894737e-10,19,4.1286300000000005e-09,2.172963157894737e-10,2.172963157894737e-10
NKAPL,6,28335076,28336715,3.1468625e-10,16,5.03498e-09,3.1468625e-10,3.1468625e-10
OR2B2,6,27987002,27988076,1.1339444444444444e-09,9,1.02055e-08,4.488416468060716e-15,0.007328688848547304
NT5C2,10,104837901,104943006,4.959333333333334e-10,45,2.2317e-08,4.959333333333334e-10,4.959333333333334e-10
ZSCAN23,6,28508410,28519258,1.5923588235294117e-09,17,2.70701e-08,1.5923588235294117e-09,1.5923588235294117e-09
EI24,11,124944507,124959785,2.079035714285714e-09,14,2.91065e-08,1.0022182776974602e-13,0.00744152005057961
ZNF184,6,27526505,27548873,1.492351851851852e-09,27,4.02935e-08,2.6740368110695753e-14,0.007273671296468106
ZKSCAN3,6,28442960,28444911,3.1678200000000003e-09,15,4.7517300000000004e-08,3.1678200000000003e-09,3.1678200000000003e-09
MAD1L1,7,1903850,2239109,3.466458904109589e-10,146,5.0610300000000004e-08,6.417382345874809e-15,0.007513853949262536
CNNM2,10,104668103,104828230,1.162569090909091e-09,55,6.39413e-08,2.0487342001312382e-14,0.006785681970484867
AS3MT,10,104619199,104651645,5.20412e-09,25,1.30103e-07,6.253113814492294e-13,0.007110816240665312
STT3A,11,124981405,124996164,5.580925925925926e-09,27,1.50685e-07,5.955594941850658e-13,0.007663928247542689
CHEK1,11,125019185,125031458,1.9930666666666666e-08,9,1.79376e-07,1.8558923116499675e-13,0.007051509436649941
HIST1H2BL,6,27883235,27883688,2.0119916666666665e-08,12,2.41439e-07,1.034859694469034e-12,0.007026572187805481
HIST1H3H,6,27883955,27886293,1.857223076923077e-08,13,2.41439e-07,1.857223076923077e-08,1.857223076923077e-08
HIST1H2AJ,6,27890058,27890497,2.1949e-08,11,2.41439e-07,3.0243196872004568e-15,0.006587832500512471
HIST1H2BM,6,27890800,27891246,2.1949e-08,11,2.41439e-07,2.1949e-08,2.1949e-08
PATE1,11,125121397,125124953,1.4515722222222222e-08,18,2.61283e-07,1.4515722222222222e-08,1.4515722222222222e-08
SCGN,6,25760407,25809987,6.03946e-09,50,3.01973e-07,4.761614648266608e-14,0.007178601955654449
SLC17A1,6,25906989,25938814,1.0985107142857142e-08,28,3.07583e-07,9.169158649984675e-14,0.006910810197818548
HIST1H4J,6,27899881,27900237,4.8883428571428576e-08,7,3.42184e-07,5.285580623555886e-12,0.007127089428005188
PLCB2,15,38380162,38387466,2.9085166666666667e-08,12,3.49022e-07,2.9085166666666667e-08,2.9085166666666667e-08
HIST1H2BC,6,26231673,26232111,1.3074285714285717e-08,28,3.6608000000000006e-07,1.3074285714285717e-08,1.3074285714285717e-08
HIST1H2AC,6,26232409,26247291,1.016888888888889e-08,36,3.6608000000000006e-07,1.2644953077200556e-13,0.006807246106583308
SLC17A3,6,25953306,25982450,1.0819081081081081e-08,37,4.00306e-07,1.5873631559078702e-13,0.00729026865925804
BTN3A2,6,26476384,26484953,1.1322928571428571e-08,42,4.75563e-07,1.1322928571428571e-08,1.1322928571428571e-08
BTN2A2,6,26491441,26503079,1.1059604651162791e-08,43,4.75563e-07,7.821969913897863e-13,0.007327685629403087
BTN2A1,6,26573391,26576825,1.6432068965517242e-08,29,4.7653e-07,2.0733065235685916e-12,0.00752769601272821
HIST1H1T,6,26215618,26216343,2.0995434782608693e-08,23,4.828949999999999e-07,1.2886320285408895e-14,0.006871327032228152
HFE,6,26204593,26205035,2.323547619047619e-08,21,4.87945e-07,3.3842818969164137e-12,0.0071800642877417635
HIST1H4C,6,26212154,26212544,2.1215e-08,23,4.87945e-07,1.6683560485045636e-12,0.007766063273702626
SLC17A4,6,25881719,25888419,2.005388461538461e-08,26,5.214009999999999e-07,3.662977973523411e-13,0.006900753438588948
TCF4,18,51082834,51282366,6.063478260869566e-09,92,5.5784e-07,6.006593117911991e-13,0.0076549667098723025
GPX5,6,28604086,28609923,3.232936842105263e-08,19,6.14258e-07,3.232936842105263e-08,3.232936842105263e-08
AK3,9,4701157,4732043,1.64335e-08,40,6.5734e-07,1.64335e-08,1.64335e-08
PRSS16,6,27327433,27332229,8.143418181818182e-08,11,8.95776e-07,1.2168224341919417e-11,0.007123487150214033
NUDT1,7,2249065,2257306,7.649533333333333e-08,15,1.14743e-06,7.772614505874646e-13,0.006731510963833529
SNX8,7,2261164,2320625,3.2783714285714284e-08,35,1.14743e-06,3.748404151235385e-12,0.007703009597905768
CCDC39,3,181908070,182070660,2.272107142857143e-08,56,1.27238e-06,2.272107142857143e-08,2.272107142857143e-08
HIST1H2BJ,6,27208073,27208554,1.284208333333333e-07,12,1.5410499999999998e-06,4.2806092804230287e-13,0.006954498050724107
HIST1H2AG,6,27208799,27211050,1.4009545454545453e-07,11,1.5410499999999998e-06,1.398807735478073e-11,0.007490782685319675
PKNOX2,11,124786568,124808495,4.275860465116279e-08,43,1.83862e-06,5.6365474125564175e-14,0.007549198208446296
PIK3C2A,11,17126642,17186106,7.054629629629628e-08,27,1.9047499999999998e-06,2.2621237005262017e-13,0.007225681225349141
HIST1H3C,6,26153617,26154076,2.4703875e-07,8,1.97631e-06,2.4703875e-07,2.4703875e-07
HIST1H1C,6,26163946,26164678,1.646925e-07,12,1.97631e-06,1.98324895314213e-12,0.007331337071142764
BTN1A1,6,26609473,26618631,1.6016999999999996e-07,13,2.0822099999999996e-06,1.4672517853059647e-13,0.006868148515515049
CUL9,6,43289512,43300303,1.5331785714285714e-07,14,2.14645e-06,1.5331785714285714e-07,1.5331785714285714e-07
ITIH4,3,52838915,52841594,7.759413793103448e-08,29,2.25023e-06,2.1295107275367107e-13,0.006424937063372232
MUSTN1,3,52848937,52906587,8.457947368421052e-08,38,3.2140199999999998e-06,2.08044058712208e-12,0.007848754886779725
HLA-DRB5,6,32593131,32665540,2.3829857142857147e-07,14,3.3361800000000006e-06,6.853466280163636e-11,0.0072619169646770424
ITIH3,3,52803823,52818065,1.3510444444444445e-07,27,3.6478199999999997e-06,8.159008671917325e-12,0.007155139242160916
SDCCAG8,1,241523015,241536009,2.7185642857142856e-07,14,3.80599e-06,2.7185642857142856e-07,2.7185642857142856e-07
AGBL3,7,134321900,134451160,8.03751923076923e-08,52,4.179509999999999e-06,8.03751923076923e-08,8.03751923076923e-08
LY6G6F,6,31791111,31793560,1.8496478260869566e-07,23,4.25419e-06,1.8496478260869566e-07,1.8496478260869566e-07
TCP10L,21,32870732,32879714,4.18075e-07,12,5.0169e-06,4.18075e-07,4.18075e-07
CALN1,7,70882411,71550072,1.9039483394833947e-08,271,5.1597e-06,1.9039483394833947e-08,1.9039483394833947e-08
NGEF,2,233467555,233501105,1.7119096774193548e-07,31,5.30692e-06,5.680278572325262e-13,0.006994405088270124
MFHAS1,8,8679408,8788541,6.49547191011236e-08,89,5.78097e-06,3.84101413939779e-12,0.007168660656946232
DPYD,1,97957911,98159203,8.269652777777777e-08,72,5.9541499999999996e-06,5.418161687529622e-13,0.006812427621377672
ITIH1,3,52796970,52801117,2.6158999999999995e-07,23,6.016569999999999e-06,4.372704893767731e-12,0.006995039737813419
MMP16,8,89150576,89408833,6.528626262626263e-08,99,6.463340000000001e-06,1.3701504988930912e-12,0.007379493907054477
FEZ1,11,124863305,124871333,3.0958045454545455e-07,22,6.81077e-06,4.808537087656447e-11,0.007137287411357127
HIST1H1A,6,26125238,26126019,6.289263636363636e-07,11,6.918189999999999e-06,1.580173156956669e-12,0.0071124796567231165
HIST1H3A,6,26128696,26129165,6.289263636363636e-07,11,6.918189999999999e-06,1.7433148751645086e-11,0.006815647653146485
HIST1H4A,6,26129885,26130257,5.765158333333332e-07,12,6.918189999999999e-06,4.083835663838326e-11,0.007059773286371157
HIST1H4B,6,26135102,26135459,5.321684615384615e-07,13,6.918189999999999e-06,1.6299233036390865e-12,0.006777238850094049
HIST1H3B,6,26139795,26140267,6.91819e-07,10,6.918189999999999e-06,8.26819978220823e-12,0.007659849141928264
IFT172,2,27547183,27566075,5.037599999999999e-07,14,7.052639999999999e-06,5.037599999999999e-07,5.037599999999999e-07
FNDC4,2,27568253,27571590,7.836266666666666e-07,9,7.052639999999999e-06,1.0188956009195054e-11,0.01224602499136151
NTRK3,15,86321598,86600665,5.350392857142857e-08,140,7.49055e-06,2.0646613613870792e-13,0.0072745770917220275
APP,21,26316026,26434649,1.3464901408450705e-07,71,9.56008e-06,1.1933615573805492e-13,0.006658666141225184
TXNRD2,22,18261780,18309359,2.1015934782608697e-07,46,9.66733e-06,3.715054641405564e-11,0.0072185867113854765
BANK1,4,102954005,103214992,9.56304347826087e-08,115,1.09975e-05,1.625014604823767e-13,0.006775458786185551
SRF,6,43246897,43257222,8.033285714285714e-07,14,1.12466e-05,1.2228397964133406e-10,0.0071192981355075275
BTNL2,6,32470490,32482878,1.4534358974358976e-07,78,1.1336800000000001e-05,6.846837772029696e-13,0.007026976516758486
HMGN4,6,26653413,26653686,6.619777777777778e-07,18,1.19156e-05,3.2908898648973684e-11,0.007732183551803627
GGA3,17,70745606,70769272,6.186619047619047e-07,21,1.29919e-05,6.186619047619047e-07,6.186619047619047e-07
GIGYF2,2,233383264,233433531,5.195714285714286e-07,28,1.4548e-05,2.0791078581915518e-13,0.006498476582211253
CDH12,5,21786910,22889488,2.8554230769230767e-08,520,1.48482e-05,5.5895505213682304e-12,0.007133418744135566
HIST1H2AB,6,26141298,26141775,1.8638999999999998e-06,8,1.4911199999999999e-05,1.8638999999999998e-06,1.8638999999999998e-06
LUZP2,11,24475131,25060762,4.785454545454546e-08,330,1.5792e-05,4.785454545454546e-08,4.785454545454546e-08
FOXN2,2,48395298,48459938,4.680828571428571e-07,35,1.63829e-05,1.0585951137428979e-11,0.006918942346282492
CTNND1,11,57285844,57343228,8.75621052631579e-07,19,1.66368e-05,8.08398317591855e-13,0.006977846331614154
TMEM132E,17,29931880,29990450,2.7583492063492066e-07,63,1.73776e-05,2.7583492063492066e-07,2.7583492063492066e-07
PSD3,8,18429092,18915476,3.645553235908142e-08,479,1.74622e-05,1.2350871140037123e-12,0.007915314032799766
TRIM38,6,26081379,26093331,1.3451307692307692e-06,13,1.74867e-05,1.3451307692307692e-06,1.3451307692307692e-06
BTN3A1,6,26510459,26523421,4.797410256410256e-07,39,1.87099e-05,1.236493716614158e-10,0.007373718528616147
