Gene,Chr,Gene Start,Gene End,Gene Score,Gene ReScore
ABCC6,16,16222544,16224829,1241023.4985200001,1236821.670206814
PDGFA,7,506940,519630,1228367.945519,1228185.7235687848
UGT2B28,4,70180805,70195357,1201171.2235120002,1201301.483469534
CLEC18A,16,68542516,68555390,1192195.440748,1192325.7007055338
KRTAP9-8,17,36647795,36648782,1179799.2382540002,1176036.7413509297
OR2T35,1,246868210,246869182,1164226.931725,1164357.1916825338
ATAD3C,1,1387842,1395401,1100500.628162,1100699.8177277134
ATAD3B,1,1415323,1421445,1014074.264281,1014193.1881741636
UGT2B17,4,69085497,69116840,1167431.8524830001,992317.0746105501
OR2T11,1,246856101,246857052,1164226.931725,989592.89196625
MSTO1,1,153847034,153851348,1143214.529054,971732.3496959
GOLGA6B,15,70734091,70746791,908666.45025,908739.6442629601
PSG9,19,48453151,48465522,1043553.77191,887020.7061235
OR4P4,11,55162409,55163348,884293.767097,884366.9611099601
FAM90A1,12,8265122,8271481,1022392.27402,869033.432917
ATP6V0C,16,2509208,2510220,800376.9639189999,799113.4809178411
SPDYE1,7,44007013,44016248,766107.615767,766159.2269390245
OR2T5,1,246718512,246719460,702584.282166,702741.6136166444
FOXD4L1,2,113973130,113975197,688286.175954,688329.4310182583
TBC1D24,16,2488239,2493489,800376.9639189999,680320.4193311499
PYCR1,17,77483559,77488463,595059.065445,595189.3254025342
KCNJ12,17,21259247,21260549,574554.087679,573835.2876965788
DTYMK,2,242263831,242266202,565060.8568020001,565136.6130592593
PDPK1,16,2546897,2574066,556954.587332,557153.7768977135
PRSS1,7,142158331,142161975,553385.0723829999,553584.2619487132
ATF7IP,12,14469205,14471024,543968.8949175001,544185.1675163754
CATSPER2,15,41726783,41747192,632256.443234,537417.9767489
ARPC3,12,109357088,109372541,488951.5062055,487662.56674282753
ADAMTSL2,9,135420220,135430462,465220.934815,465268.1011940492
ANXA8L1,10,46577989,46594128,459856.012733,460033.59183346306
