Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScore,Gene ReScorePR
CAMK2D,4,114645580,114902177,9.879538538065255,126,0.0064527000000000004,0.015110852758582566,0.015110852758582566
RCAN2,6,46296427,46567670,9.700190890171788,89,0.00545319,0.014750586799179463,0.014750586799179463
ACRV1,11,125047438,125056152,7.123130333358217,10,0.00806239,0.01291895790195305,0.01291895790195305
RAB4A,1,227506751,227507873,9.139175825196228,19,0.00204014,0.01276177024954989,0.01276177024954989
RUNX1,21,35181009,36278917,10.805493652312895,669,0.0135725,0.011304142428918413,0.011304142428918413
EVC2,4,5615052,5762176,9.933668267423505,114,0.00553054,0.010236754037602514,0.010236754037602514
ALDOB,9,103223478,103237926,7.1519333271434675,27,0.021150400000000003,0.010058242232361648,0.010058242232361648
ADCY2,5,7835285,7883194,7.194453391237122,60,0.0450443,0.009512294917612029,0.009512294917612029
ADCY1,7,45580649,45729239,10.437135464571881,94,0.00275637,0.009499183314847622,0.009499183314847622
HLA-DRB5,6,32593131,32665540,15.249741447704118,14,3.3361800000000006e-06,0.009414342088553651,0.009414342088553651
COL11A1,1,103114610,103346640,11.828458465577786,118,0.0008606919999999999,0.008369830090450085,0.008369830090450085
SPOCK1,5,136338885,136862917,15.48259932908505,341,6.43794e-05,0.008066905850484295,0.008066905850484295
HTR3A,11,113351119,113366244,6.901994128547066,27,0.027156,0.007851197407605277,0.007851197407605277
MYBPC2,19,55627971,55661395,8.721267763777629,32,0.00521857,0.007611592803930256,0.007611592803930256
HIVEP2,6,143114296,143308031,12.00908512323185,104,0.000633219,0.007510903267990371,0.007510903267990371
VPS39,15,40238190,40287794,6.871871170062939,28,0.029023,0.007493853431567603,0.007493853431567603
CDH12,5,21786910,22889488,17.371460723759032,520,1.48482e-05,0.0072086179908086405,0.0072086179908086405
KCNMB1,5,169742257,169749216,6.83457916944898,30,0.032277600000000004,0.007071746735417991,0.007071746735417991
TFPI2,7,93353680,93358001,5.37308162238486,18,0.08351660000000001,0.006989246786923418,0.006989246786923418
ART3,4,77222000,77252962,12.894600511570298,40,0.00010046299999999999,0.006937005373051138,0.006937005373051138
GNA11,19,3045407,3072454,6.198731854411361,17,0.034544099999999994,0.006841649605638443,0.006841649605638443
STAMBP,2,73909654,73943519,8.673741743843497,30,0.00513054,0.006837997275441523,0.006837997275441523
SLCO2A1,3,135152485,135231610,8.90984408670017,45,0.00607738,0.006760750236523692,0.006760750236523692
ALX3,1,110404519,110414845,6.445715092124025,22,0.0349208,0.006450963157565957,0.006450963157565957
BTN3A1,6,26510459,26523421,14.550019408557642,39,1.87099e-05,0.006425794397910547,0.006425794397910547
CACNA2D2,3,50375234,50515896,8.928719019946854,69,0.00914441,0.006420857172832441,0.006420857172832441
SLC14A1,18,41562991,41586483,6.661022162234842,56,0.0716709,0.006064291043459026,0.006064291043459026
TXNRD2,22,18261780,18309359,15.375399794799641,46,9.66733e-06,0.0059786086469628685,0.0059786086469628685
ETV1,7,13912579,13992419,11.381823583719873,56,0.000638447,0.005692428261734005,0.005692428261734005
FPR1,19,56941006,56942059,7.524191046984086,23,0.0124169,0.005682786367042383,0.005682786367042383
LYST,1,234059330,234096843,7.77793244144584,15,0.00628316,0.005632396142879963,0.005632396142879963
HIST1H1B,6,27942548,27943338,23.374870961906854,10,7.053789999999999e-10,0.005551591296871214,0.005551591296871214
SH3GL2,9,17569193,17787122,9.398149686277431,220,0.018233000000000003,0.005438966722923594,0.005438966722923594
CHD1L,1,145202695,145234067,8.978896815744319,55,0.006932300000000001,0.0053837529498793465,0.0053837529498793465
CNKSR1,1,26379373,26388962,7.856476007120277,23,0.00890643,0.005311515045078341,0.005311515045078341
HSD17B2,16,80626363,80689638,6.597392123771454,59,0.08047130000000001,0.0051408865443894275,0.0051408865443894275
CACNA1S,1,199275262,199348317,9.020517260427713,84,0.010155899999999999,0.005109203562089012,0.005109203562089012
HFE,6,26204593,26205035,17.577585580086396,21,4.87945e-07,0.00506868837876658,0.00506868837876658
PDE4D,5,59317984,59819649,12.130924173053613,181,0.00097563,0.004930105893320564,0.004930105893320564
AP3D1,19,2051992,2102556,10.62253292925322,28,0.0006821039999999999,0.004917122466182509,0.004917122466182509
DLX3,17,45422367,45427587,7.200597307807545,15,0.0111921,0.004885535714869658,0.004885535714869658
SSBP3,1,54464782,54644680,11.663847412151751,108,0.000928708,0.004880085617556679,0.004880085617556679
DKKL1,19,54558853,54570185,4.5551719606097425,13,0.136665,0.004824349055901187,0.004824349055901187
CLDN12,7,89879926,89880661,5.03994670694108,15,0.09711139999999999,0.004820078534946828,0.004820078534946828
SHMT1,17,18177204,18207581,8.883921477465996,24,0.00332639,0.004785534761982731,0.004785534761982731
PRSS16,6,27327433,27332229,16.32347072802506,11,8.95776e-07,0.004766017607341195,0.004766017607341195
GRM7,3,7468467,7653128,12.470982857851663,155,0.000594638,0.004760840806028632,0.004760840806028632
USP34,2,61307430,61360987,6.439503182775208,19,0.0303468,0.004702944614480131,0.004702944614480131
LYVE1,11,10535988,10546941,6.507566566599373,16,0.0238737,0.004673985035053041,0.004673985035053041
TAF4B,18,22060406,22225647,7.2908475362385765,50,0.0340875,0.004667493580028255,0.004667493580028255
KPNA3,13,49171461,49265058,7.634681604916617,40,0.0193357,0.004653658806291685,0.004653658806291685
GNGT1,7,93373755,93378421,5.573752317847011,22,0.08351660000000001,0.004543643042038984,0.004543643042038984
CDH17,8,95208567,95289986,9.444048001770144,59,0.004670399999999999,0.0045169706637801415,0.0045169706637801415
EHHADH,3,186391105,186454531,5.19901013510331,36,0.198793,0.004448058248366399,0.004448058248366399
FCER1A,1,157526129,157544638,10.024663293435607,23,0.00101876,0.004439822996897343,0.004439822996897343
GRM8,7,126129046,126539610,7.759189181009313,200,0.0853605,0.004417979038383322,0.004417979038383322
PTPN4,2,120356142,120451507,6.607546525290103,32,0.0432045,0.004389100964088636,0.004389100964088636
AS3MT,10,104619199,104651645,19.07381521737677,25,1.30103e-07,0.00436485869495155,0.00436485869495155
SRF,6,43246897,43257222,14.034502026829665,14,1.12466e-05,0.004338845790605052,0.004338845790605052
PRPF3,1,148572073,148585236,11.06559661943014,7,0.000109489,0.00432136286653079,0.00432136286653079
FBXW4,10,103360410,103444733,10.332612503153896,28,0.00091151,0.0043177154527593645,0.0043177154527593645
MOV10,1,113018992,113044882,6.212041395224878,20,0.0401028,0.00431342375518616,0.00431342375518616
CNTN5,11,98397080,99732683,12.128447274845243,875,0.00472814,0.004309744376413555,0.004309744376413555
SYT7,16,19091179,19186055,10.909139774893005,67,0.00122545,0.00429779634067068,0.00429779634067068
ADRA1D,20,4149277,4177659,11.941943190548901,31,0.00020185599999999999,0.004296409868929718,0.004296409868929718
MYH13,17,10144907,10217047,12.132113791636884,64,0.000344564,0.004279278464276539,0.004279278464276539
ICAM4,19,10258649,10260198,6.5827718637763155,13,0.0179921,0.004272162342353442,0.004272162342353442
FEZ1,11,124863305,124871333,14.988047828536835,22,6.81077e-06,0.00423099878855752,0.00423099878855752
KCNQ4,1,41022270,41076947,9.097959435292625,41,0.00458765,0.004226326466910857,0.004226326466910857
TCF4,18,51082834,51282366,18.920982231082697,92,5.5784e-07,0.0042150526721932225,0.0042150526721932225
GSTP1,11,67108170,67110699,5.873072173326263,14,0.039399,0.004189753707364653,0.004189753707364653
SNX19,11,130281057,130291554,13.106132182475747,22,4.472e-05,0.00415625601591771,0.00415625601591771
KCNA10,1,110861361,110863320,5.3312060692594825,16,0.0774117,0.0041549199898107654,0.0041549199898107654
BTN2A1,6,26573391,26576825,17.92403098674387,29,4.7653e-07,0.0041542358852737485,0.0041542358852737485
CDH23,10,73241645,73245710,7.459392976682672,14,0.00806408,0.004153685524774909,0.004153685524774909
GLI3,7,41967072,42243321,13.649750832890383,190,0.000224255,0.004118669292056911,0.004118669292056911
COL4A4,2,227575670,227737519,7.120232434246903,99,0.0800493,0.004067108758609205,0.004067108758609205
KCND3,1,112119976,112333300,9.877123863105135,196,0.0100618,0.004065557009021453,0.004065557009021453
PTK2,8,141737682,142080514,10.672248943298545,107,0.00248019,0.0039861509993861476,0.0039861509993861476
LRP1B,2,141324140,142605740,14.775935176481603,712,0.000272504,0.003964667864805837,0.003964667864805837
GADD45G,9,91409891,91411289,7.300314891955575,23,0.0155325,0.0039642981035701574,0.0039642981035701574
PAX7,1,18830086,18935219,7.669626136495903,78,0.0364098,0.003942007842600145,0.003942007842600145
B3GAT2,6,71628088,71723509,12.110701861501717,60,0.00033002,0.003935077696021432,0.003935077696021432
U2AF1,21,43390818,43400757,4.452570708653569,12,0.139783,0.0039040454189229238,0.0039040454189229238
MBD2,18,49983044,50005156,6.191770864519435,12,0.0245544,0.003900465791082071,0.003900465791082071
ICAM5,19,10263148,10268454,6.851035850370995,17,0.0179921,0.0038992134451559407,0.0038992134451559407
TM4SF1,3,150569499,150576189,6.146462252226567,14,0.029974599999999997,0.003897781106792683,0.003897781106792683
RPA3,7,7643099,7724763,9.294601928175181,87,0.00799696,0.0038927990610774115,0.0038927990610774115
ELAC2,17,12836426,12862084,7.861325026990583,24,0.00924871,0.003849664799781077,0.003849664799781077
SUCLG2,3,67507832,67787728,11.350996603145168,188,0.00221046,0.003834588838753533,0.003834588838753533
FBN1,15,46487796,46725210,10.053657928997048,119,0.00512034,0.003798018376570377,0.003798018376570377
SRL,16,4179375,4232082,7.707051645907268,42,0.0188851,0.003780568119536231,0.003780568119536231
RAB5B,12,54654128,54674755,8.354971091682344,21,0.00493971,0.0037712590648111876,0.0037712590648111876
PATE2,11,125151235,125153924,8.887200312663792,17,0.00234848,0.0037607686239427424,0.0037607686239427424
STT3A,11,124981405,124996164,19.003911137773272,27,1.50685e-07,0.0037598756149699163,0.0037598756149699163
NOTCH1,9,138516709,138527824,7.720999420259365,18,0.00798151,0.003736271044289677,0.003736271044289677
NRG3,10,84549477,84735341,10.995165118542756,136,0.00228244,0.003730186164346254,0.003730186164346254
TUB,11,8059484,8084228,9.587482482905571,43,0.00294902,0.0037263714530666255,0.0037263714530666255
TOX,8,59880530,60194321,9.388423863246542,204,0.0170722,0.0037196166586461027,0.0037196166586461027
PPP1R13B,14,103275913,103382975,9.908237591640852,49,0.00243839,0.003680828670821633,0.003680828670821633
CD46,1,205992024,206035481,11.131789830267246,26,0.000380626,0.003669295630169252,0.003669295630169252
ICAM1,19,10242516,10258291,6.725872707416989,15,0.0179921,0.0036504763376588685,0.0036504763376588685
SNX8,7,2261164,2320625,17.23333396054048,35,1.14743e-06,0.0036480508969464866,0.0036480508969464866
ANK3,10,61568727,61637997,8.645131787317233,54,0.009503,0.00362592471993139,0.00362592471993139
MPO,17,53702215,53713295,6.3900297643069,16,0.026851299999999998,0.0036200200627746573,0.0036200200627746573
DLG1,3,198327194,198394902,9.711917231061024,40,0.0024223,0.0036168821883979627,0.0036168821883979627
CALCB,11,15051721,15060464,5.479851233650987,12,0.0500394,0.00361519414563225,0.00361519414563225
RBP1,3,140727936,140741180,5.829375275117167,23,0.067618,0.003610002573018951,0.003610002573018951
HIST1H4J,6,27899881,27900237,16.833827381919615,7,3.42184e-07,0.0036080414611130538,0.0036080414611130538
IGHMBP2,11,68456348,68461135,5.7818022298785126,13,0.040081,0.0035826321699442476,0.0035826321699442476
ERCC4,16,13921514,13953706,6.912260283086924,39,0.0388247,0.003577998472635049,0.003577998472635049
RGS7,1,239005439,239587101,11.470947677510031,373,0.00388991,0.00357259707689375,0.00357259707689375
MAZ,16,29726965,29730005,5.493744426520472,6,0.024674500000000002,0.0035500904616248196,0.0035500904616248196
PTPN2,18,12783246,12874334,7.304596961646559,42,0.0282425,0.0035424131301835787,0.0035424131301835787
AADAT,4,171217947,171247947,7.906576532797289,21,0.00773458,0.003534444740235936,0.003534444740235936
UBE2D1,10,59764744,59800515,5.5662565707254,21,0.0803202,0.0035095854415263168,0.0035095854415263168
RRP12,10,99106447,99151055,13.639511578181649,38,4.5312600000000004e-05,0.003494252086442682,0.003494252086442682
CACNB2,10,18729518,18870694,11.80350308349703,108,0.000807658,0.003493154327546262,0.003493154327546262
TRIM16,17,15472004,15528338,6.673928991821461,24,0.030322199999999997,0.0034504843832690994,0.0034504843832690994
STK11,19,1156797,1179434,7.61199807455428,14,0.00692276,0.0034409733212089873,0.0034409733212089873
ENPP3,6,132000067,132110243,6.555459056603778,47,0.0668495,0.0034236234037448372,0.0034236234037448372
SEMA5A,5,9088137,9599233,11.462879606723561,404,0.00424733,0.0034231781307912613,0.0034231781307912613
GABBR2,9,100090186,100511300,13.227469555870524,356,0.000640963,0.0034227561140822106,0.0034227561140822106
EDN3,20,57308893,57334442,6.101606847668412,27,0.0604602,0.003405253344344046,0.003405253344344046
MMP10,11,102146443,102156554,4.877272040606325,30,0.228533,0.0033902083458016456,0.0033902083458016456
MAPK9,5,179595389,179651573,9.442983166874333,41,0.00324899,0.0033780718977158646,0.0033780718977158646
