Gene,Chr,Gene Start,Gene End,Gene Score,nSNPs,TopSNP P-Value,Gene ReScorePR
HIST1H4K,6,27906930,27907284,4.056944000000001e-09,8,5.071180000000001e-10,4.056944000000001e-09
HIST1H2AK,6,27913636,27914096,8.113888000000001e-09,16,5.071180000000001e-10,8.113888000000001e-09
HIST1H2BN,6,27914418,27914867,8.621006000000002e-09,17,5.071180000000001e-10,1.458450067662903e-15
HIST1H2AL,6,27941085,27941555,7.053789999999999e-09,10,7.053789999999999e-10,7.053789999999999e-09
HIST1H1B,6,27942548,27943338,7.053789999999999e-09,10,7.053789999999999e-10,8.177586244883845e-13
HIST1H3I,6,27947601,27948078,7.053789999999999e-09,10,7.053789999999999e-10,7.053789999999999e-09
HIST1H4L,6,27948904,27949268,7.053789999999999e-09,10,7.053789999999999e-10,7.053789999999999e-09
PGBD1,6,28357342,28378305,3.70812e-08,30,1.23604e-09,4.643082911635428e-14
HIST1H1E,6,26264537,26265322,1.60391e-08,11,1.4581e-09,1.323070947307067e-13
HIST1H2BD,6,26266327,26279555,2.18715e-08,15,1.4581e-09,9.968876780781455e-14
ZKSCAN4,6,28320468,28327981,3.948868000000001e-08,22,1.7949400000000002e-09,3.948868000000001e-08
ZSCAN12,6,28454974,28475490,6.344448e-08,32,1.98264e-09,6.344448e-08
ZNF165,6,28157001,28165319,7.844397000000001e-08,19,4.1286300000000005e-09,7.844397000000001e-08
NKAPL,6,28335076,28336715,8.055968e-08,16,5.03498e-09,8.055968e-08
OR2B2,6,27987002,27988076,9.18495e-08,9,1.02055e-08,4.076780924158183e-13
NT5C2,10,104837901,104943006,1.004265e-06,45,2.2317e-08,1.004265e-06
ZSCAN23,6,28508410,28519258,4.6019169999999997e-07,17,2.70701e-08,4.6019169999999997e-07
EI24,11,124944507,124959785,4.07491e-07,14,2.91065e-08,2.0111773133787877e-11
ZNF184,6,27526505,27548873,1.0879245000000001e-06,27,4.02935e-08,2.030791040296896e-11
ZKSCAN3,6,28442960,28444911,7.127595e-07,15,4.7517300000000004e-08,7.127595e-07
MAD1L1,7,1903850,2239109,7.3891038e-06,146,5.0610300000000004e-08,1.4995938738863197e-10
CNNM2,10,104668103,104828230,3.5167715000000003e-06,55,6.39413e-08,6.652031313342942e-11
AS3MT,10,104619199,104651645,3.2525750000000004e-06,25,1.30103e-07,4.014379818409073e-10
STT3A,11,124981405,124996164,4.068495e-06,27,1.50685e-07,4.3592769349811596e-10
CHEK1,11,125019185,125031458,1.6143840000000001e-06,9,1.79376e-07,1.6078856024180286e-11
HIST1H2BL,6,27883235,27883688,2.897268e-06,12,2.41439e-07,1.6226178957091006e-10
HIST1H3H,6,27883955,27886293,3.138707e-06,13,2.41439e-07,3.138707e-06
HIST1H2AJ,6,27890058,27890497,2.655829e-06,11,2.41439e-07,3.996762195403436e-13
HIST1H2BM,6,27890800,27891246,2.655829e-06,11,2.41439e-07,2.655829e-06
PATE1,11,125121397,125124953,4.703094e-06,18,2.61283e-07,4.703094e-06
SCGN,6,25760407,25809987,1.5098649999999998e-05,50,3.01973e-07,1.3524285573294025e-10
SLC17A1,6,25906989,25938814,8.612324e-06,28,3.07583e-07,7.988834060054674e-11
HIST1H4J,6,27899881,27900237,2.3952880000000003e-06,7,3.42184e-07,2.6662266962903577e-10
PLCB2,15,38380162,38387466,4.188264e-06,12,3.49022e-07,4.188264e-06
HIST1H2BC,6,26231673,26232111,1.0250240000000002e-05,28,3.6608000000000006e-07,1.0250240000000002e-05
HIST1H2AC,6,26232409,26247291,1.3178880000000002e-05,36,3.6608000000000006e-07,1.767092283009235e-10
SLC17A3,6,25953306,25982450,1.4811322e-05,37,4.00306e-07,2.3376398588720357e-10
BTN3A2,6,26476384,26484953,1.9973646e-05,42,4.75563e-07,1.9973646e-05
BTN2A2,6,26491441,26503079,2.0449209e-05,43,4.75563e-07,1.4747646849252473e-09
BTN2A1,6,26573391,26576825,1.381937e-05,29,4.7653e-07,1.6915462802374848e-09
HIST1H1T,6,26215618,26216343,1.1106584999999999e-05,23,4.828949999999999e-07,7.682194382586725e-12
HFE,6,26204593,26205035,1.0246845e-05,21,4.87945e-07,1.5618895784599008e-09
HIST1H4C,6,26212154,26212544,1.1222735e-05,23,4.87945e-07,8.266317523364836e-10
SLC17A4,6,25881719,25888419,1.3556425999999997e-05,26,5.214009999999999e-07,2.9410075893518743e-10
TCF4,18,51082834,51282366,5.1321280000000005e-05,92,5.5784e-07,6.395292882294426e-09
GPX5,6,28604086,28609923,1.1670901999999999e-05,19,6.14258e-07,1.1670901999999999e-05
AK3,9,4701157,4732043,2.62936e-05,40,6.5734e-07,2.62936e-05
PRSS16,6,27327433,27332229,9.853536e-06,11,8.95776e-07,1.532439152636664e-09
NUDT1,7,2249065,2257306,1.721145e-05,15,1.14743e-06,1.9780485327194595e-10
SNX8,7,2261164,2320625,4.016005e-05,35,1.14743e-06,4.443252360415157e-09
CCDC39,3,181908070,182070660,7.125328e-05,56,1.27238e-06,7.125328e-05
HIST1H2BJ,6,27208073,27208554,1.84926e-05,12,1.5410499999999998e-06,5.656840635021002e-11
HIST1H2AG,6,27208799,27211050,1.695155e-05,11,1.5410499999999998e-06,1.5640798204241686e-09
PKNOX2,11,124786568,124808495,7.906066e-05,43,1.83862e-06,1.0189192692145026e-10
PIK3C2A,11,17126642,17186106,5.142824999999999e-05,27,1.9047499999999998e-06,1.566999456916362e-10
HIST1H3C,6,26153617,26154076,1.581048e-05,8,1.97631e-06,1.581048e-05
HIST1H1C,6,26163946,26164678,2.371572e-05,12,1.97631e-06,3.115836833070893e-10
BTN1A1,6,26609473,26618631,2.7068729999999996e-05,13,2.0822099999999996e-06,2.9355003468700575e-11
CUL9,6,43289512,43300303,3.00503e-05,14,2.14645e-06,3.00503e-05
ITIH4,3,52838915,52841594,6.525667e-05,29,2.25023e-06,1.6080997232179887e-10
MUSTN1,3,52848937,52906587,0.00012213276,38,3.2140199999999998e-06,2.88140960584713e-09
HLA-DRB5,6,32593131,32665540,4.6706520000000006e-05,14,3.3361800000000006e-06,1.5168044789832668e-08
ITIH3,3,52803823,52818065,9.849114e-05,27,3.6478199999999997e-06,6.097479764234391e-09
SDCCAG8,1,241523015,241536009,5.328386e-05,14,3.80599e-06,5.328386e-05
AGBL3,7,134321900,134451160,0.00021733451999999997,52,4.179509999999999e-06,0.00021733451999999997
LY6G6F,6,31791111,31793560,9.784637e-05,23,4.25419e-06,9.784637e-05
TCP10L,21,32870732,32879714,6.0202800000000006e-05,12,5.0169e-06,6.0202800000000006e-05
CALN1,7,70882411,71550072,0.0013982787,271,5.1597e-06,0.0013982787
NGEF,2,233467555,233501105,0.00016451452,31,5.30692e-06,6.148991789606025e-10
MFHAS1,8,8679408,8788541,0.00051450633,89,5.78097e-06,3.140893425103213e-08
DPYD,1,97957911,98159203,0.0004286988,72,5.9541499999999996e-06,2.964732114233334e-09
ITIH1,3,52796970,52801117,0.00013838110999999997,23,6.016569999999999e-06,2.4978444413487697e-09
MMP16,8,89150576,89408833,0.00063987066,99,6.463340000000001e-06,1.554721021466136e-08
FEZ1,11,124863305,124871333,0.00014983694,22,6.81077e-06,2.3591698679257962e-08
HIST1H1A,6,26125238,26126019,7.610009e-05,11,6.918189999999999e-06,2.1191921722538543e-10
HIST1H3A,6,26128696,26129165,7.610009e-05,11,6.918189999999999e-06,2.272604015530934e-09
HIST1H4A,6,26129885,26130257,8.301827999999999e-05,12,6.918189999999999e-06,4.46782810295606e-09
HIST1H4B,6,26135102,26135459,8.993646999999999e-05,13,6.918189999999999e-06,2.8790183476389646e-10
HIST1H3B,6,26139795,26140267,6.91819e-05,10,6.918189999999999e-06,7.293102953879266e-10
IFT172,2,27547183,27566075,9.873695999999998e-05,14,7.052639999999999e-06,9.873695999999998e-05
FNDC4,2,27568253,27571590,6.347375999999999e-05,9,7.052639999999999e-06,6.079658337338947e-10
NTRK3,15,86321598,86600665,0.001048677,140,7.49055e-06,4.794874906975895e-09
APP,21,26316026,26434649,0.00067876568,71,9.56008e-06,6.845763370885712e-10
TXNRD2,22,18261780,18309359,0.00044469718,46,9.66733e-06,9.109637287010721e-08
BANK1,4,102954005,103214992,0.0012647124999999998,115,1.09975e-05,2.2575423486780694e-09
SRF,6,43246897,43257222,0.0001574524,14,1.12466e-05,2.5282947551665185e-08
BTNL2,6,32470490,32482878,0.0008842704000000001,78,1.1336800000000001e-05,4.249236621797366e-09
HMGN4,6,26653413,26653686,0.0002144808,18,1.19156e-05,1.0677686653430308e-08
GGA3,17,70745606,70769272,0.0002728299,21,1.29919e-05,0.0002728299
GIGYF2,2,233383264,233433531,0.000407344,28,1.4548e-05,2.0364189810959645e-10
CDH12,5,21786910,22889488,0.007721064,520,1.48482e-05,1.6075714377350602e-06
HIST1H2AB,6,26141298,26141775,0.00011928959999999999,8,1.4911199999999999e-05,0.00011928959999999999
LUZP2,11,24475131,25060762,0.00521136,330,1.5792e-05,0.00521136
FOXN2,2,48395298,48459938,0.0005734014999999999,35,1.63829e-05,1.4727039426436483e-08
CTNND1,11,57285844,57343228,0.0003160992,19,1.66368e-05,3.1065079853356367e-10
TMEM132E,17,29931880,29990450,0.0010947888,63,1.73776e-05,0.0010947888
PSD3,8,18429092,18915476,0.0083643938,479,1.74622e-05,2.886888675348e-07
TRIM38,6,26081379,26093331,0.0002273271,13,1.74867e-05,0.0002273271
BTN3A1,6,26510459,26523421,0.0007296860999999999,39,1.87099e-05,1.7967349261188155e-07
CREB3L1,11,46293787,46299548,0.00016958160000000002,9,1.88424e-05,7.38472031479688e-10
TMX2,11,57236617,57265020,0.000289959,15,1.93306e-05,0.000289959
SFMBT1,3,52913666,53055110,0.0008063879999999999,41,1.9668e-05,3.646212145749484e-08
KIAA0391,14,34661678,34813248,0.0011523291000000001,57,2.02163e-05,0.0011523291000000001
SLCO4C1,5,101597590,101660152,0.0007479288,36,2.07758e-05,0.0007479288
CWF19L2,11,106702281,106833782,0.0013311872,64,2.07998e-05,4.958081169711096e-09
GCKR,2,27573209,27600054,0.00048207720000000004,22,2.19126e-05,1.759208611212012e-09
CLP1,11,57181205,57185913,0.0001536913,7,2.19559e-05,2.0586670325146893e-08
VRK2,2,58127335,58240509,0.0011828115,45,2.62847e-05,4.232074434803331e-09
FANCL,2,58240746,58322019,0.0009199645,35,2.62847e-05,1.248655851543761e-09
ZDHHC5,11,57205526,57225235,0.000275731,10,2.75731e-05,1.7067894005589514e-08
MED19,11,57227762,57236249,0.0002205848,8,2.75731e-05,8.802307078298816e-11
WDR18,19,935327,945569,0.0006266505,21,2.9840500000000003e-05,5.491300136794813e-10
GRIN3B,19,951436,960723,0.0006266505,21,2.9840500000000003e-05,7.2822755852312e-08
DPF3,14,72206412,72430562,0.0041715985,139,3.0011500000000002e-05,4.437855387849707e-08
GRM3,7,86111165,86332128,0.0029924617999999995,94,3.1834699999999995e-05,2.2482885365514296e-07
MAGOH,1,53465151,53476795,0.0004842570000000001,15,3.2283800000000004e-05,1.0808338507127652e-08
LRP8,1,53488949,53506858,0.0004842570000000001,15,3.2283800000000004e-05,0.0004842570000000001
PROX2,14,74391587,74400290,0.000323994,10,3.23994e-05,1.7523956306832008e-09
ZDHHC2,8,17058401,17124612,0.0018569003999999998,57,3.25772e-05,6.856862833153298e-08
ZSCAN20,1,33710838,33734582,0.0008526076,26,3.27926e-05,1.120266190608784e-08
SERPINF2,17,1592879,1605309,0.0007347251999999999,22,3.33966e-05,3.220371480607496e-08
SERPINF1,17,1612008,1627618,0.0010352946,31,3.33966e-05,1.7517621548696131e-09
VPS37A,8,17176655,17197418,0.0009887579000000001,29,3.4095100000000005e-05,7.302733571996809e-10
DNAJC19,3,182184197,182190224,0.000342759,10,3.42759e-05,7.185590565401762e-09
YPEL4,11,57169135,57173993,0.00027584880000000003,8,3.4481100000000004e-05,1.9183074305258418e-10
CALHM1,10,105203133,105208635,0.0006446592,18,3.58144e-05,0.0006446592
CALHM3,10,105222550,105228987,0.0006088448,17,3.58144e-05,0.0006088448
ABT1,6,26705158,26708256,0.000610368,17,3.5904e-05,0.000610368
EMX1,2,72998111,73015528,0.00044211960000000003,12,3.68433e-05,1.630496914570494e-08
TMEM151B,6,44348780,44452882,0.0031815168,84,3.78752e-05,0.0031815168
SPATS1,6,44418463,44452882,0.001325632,35,3.78752e-05,2.3621330474300033e-09
DNAJA3,16,4415882,4446776,0.000616168,16,3.85105e-05,1.1416200802188049e-08
NMRAL1,16,4451695,4466308,0.000539147,14,3.85105e-05,3.0312987192856966e-09
HMOX2,16,4485859,4500349,0.0008794742,22,3.99761e-05,5.37254448379243e-10
FOXP1,3,71329723,71715830,0.008273830499999999,195,4.24299e-05,2.6748449927086014e-07
INHBA,7,41695125,41709231,0.0005679583,13,4.36891e-05,1.650693450684436e-09
KIF5C,2,149564694,149591519,0.0006228208,14,4.44872e-05,0.0006228208
SNX19,11,130281057,130291554,0.00098384,22,4.472e-05,1.6508851942320136e-07
FAM120AOS,9,95248602,95255695,0.0002692428,6,4.4873800000000004e-05,1.4264117518871327e-08
RRP12,10,99106447,99151055,0.0017218788,38,4.5312600000000004e-05,2.363973254097441e-07
HIST1H3J,6,27966071,27966549,0.000455229,10,4.55229e-05,2.7590581609259944e-08
MYLK4,6,2608861,2696153,0.0049878073,109,4.57597e-05,0.0049878073
CDC5L,6,44463279,44522758,0.0017509325,37,4.73225e-05,1.785893248010758e-07
FEZF1,7,121729286,121731835,0.00047765699999999993,10,4.7765699999999996e-05,0.00047765699999999993
THRB,3,24168884,24511457,0.012677631299999999,261,4.85733e-05,7.234436137717076e-07
FXR1,3,182163415,182163517,0.0002470095,5,4.94019e-05,2.0390657726841223e-10
ZSWIM4,19,13767273,13804044,0.000747423,15,4.98282e-05,2.3353521604587635e-08
TTC23,15,97513091,97608951,0.003031014,60,5.05169e-05,0.003031014
